hidden_layers,activation,solver,max_iter,f1_score,cv_mean,cv_std
"(10, 10, 5)",relu,adam,200,0.4482758620689655,0.44825854700854695,0.004022169858740673
"(10, 10, 5)",relu,adam,2000,0.4482758620689655,0.44825854700854695,0.004022169858740673
"(10, 10, 5)",relu,adam,2500,0.4482758620689655,0.44825854700854695,0.004022169858740673
"(10, 10, 5)",relu,adam,3000,0.4482758620689655,0.44825854700854695,0.004022169858740673
"(10, 10, 5)",relu,sgd,200,0.4482758620689655,0.44825854700854695,0.004022169858740673
"(10, 10, 5)",relu,sgd,2000,0.4482758620689655,0.44825854700854695,0.004022169858740673
"(10, 10, 5)",relu,sgd,2500,0.4482758620689655,0.44825854700854695,0.004022169858740673
"(10, 10, 5)",relu,sgd,3000,0.4482758620689655,0.44825854700854695,0.004022169858740673
"(10, 10, 5)",relu,lbfgs,200,1.0,0.5866857933745118,0.06969234181961811
"(10, 10, 5)",relu,lbfgs,2000,1.0,0.5866857933745118,0.06969234181961811
"(10, 10, 5)",relu,lbfgs,2500,1.0,0.5866857933745118,0.06969234181961811
"(10, 10, 5)",relu,lbfgs,3000,1.0,0.5866857933745118,0.06969234181961811
"(10, 10, 5)",tanh,adam,200,0.47147147147147145,0.460257469592808,0.05983880076885883
"(10, 10, 5)",tanh,adam,2000,0.47147147147147145,0.460257469592808,0.05983880076885883
"(10, 10, 5)",tanh,adam,2500,0.47147147147147145,0.460257469592808,0.05983880076885883
"(10, 10, 5)",tanh,adam,3000,0.47147147147147145,0.460257469592808,0.05983880076885883
"(10, 10, 5)",tanh,sgd,200,0.4984914515588334,0.47982736206592635,0.06436591893668074
"(10, 10, 5)",tanh,sgd,2000,0.4984914515588334,0.47982736206592635,0.06436591893668074
"(10, 10, 5)",tanh,sgd,2500,0.4984914515588334,0.47982736206592635,0.06436591893668074
"(10, 10, 5)",tanh,sgd,3000,0.4984914515588334,0.47982736206592635,0.06436591893668074
"(10, 10, 5)",tanh,lbfgs,200,1.0,0.5863451848697749,0.08947213357666109
"(10, 10, 5)",tanh,lbfgs,2000,1.0,0.5863451848697749,0.08947213357666109
"(10, 10, 5)",tanh,lbfgs,2500,1.0,0.5863451848697749,0.08947213357666109
"(10, 10, 5)",tanh,lbfgs,3000,1.0,0.5863451848697749,0.08947213357666109
"(10, 10, 5)",logistic,adam,200,0.4482758620689655,0.44825854700854695,0.004022169858740673
"(10, 10, 5)",logistic,adam,2000,0.4482758620689655,0.44825854700854695,0.004022169858740673
"(10, 10, 5)",logistic,adam,2500,0.4482758620689655,0.44825854700854695,0.004022169858740673
"(10, 10, 5)",logistic,adam,3000,0.4482758620689655,0.44825854700854695,0.004022169858740673
"(10, 10, 5)",logistic,sgd,200,0.4482758620689655,0.44825854700854695,0.004022169858740673
"(10, 10, 5)",logistic,sgd,2000,0.4482758620689655,0.44825854700854695,0.004022169858740673
"(10, 10, 5)",logistic,sgd,2500,0.4482758620689655,0.44825854700854695,0.004022169858740673
"(10, 10, 5)",logistic,sgd,3000,0.4482758620689655,0.44825854700854695,0.004022169858740673
"(10, 10, 5)",logistic,lbfgs,200,0.9809027777777778,0.5869275069924267,0.04887332988359602
"(10, 10, 5)",logistic,lbfgs,2000,1.0,0.590929539734544,0.06995143781753295
"(10, 10, 5)",logistic,lbfgs,2500,1.0,0.590929539734544,0.06995143781753295
"(10, 10, 5)",logistic,lbfgs,3000,1.0,0.590929539734544,0.06995143781753295
"(10, 10, 5)",identity,adam,200,0.591793041926851,0.517839067084245,0.10512070741669892
"(10, 10, 5)",identity,adam,2000,0.591793041926851,0.517839067084245,0.10512070741669892
"(10, 10, 5)",identity,adam,2500,0.591793041926851,0.517839067084245,0.10512070741669892
"(10, 10, 5)",identity,adam,3000,0.591793041926851,0.517839067084245,0.10512070741669892
"(10, 10, 5)",identity,sgd,200,0.5064935064935066,0.4965838962365158,0.06679880671834229
"(10, 10, 5)",identity,sgd,2000,0.5064935064935066,0.4965838962365158,0.06679880671834229
"(10, 10, 5)",identity,sgd,2500,0.5064935064935066,0.4965838962365158,0.06679880671834229
"(10, 10, 5)",identity,sgd,3000,0.5064935064935066,0.4965838962365158,0.06679880671834229
"(10, 10, 5)",identity,lbfgs,200,1.0,0.5691330784926227,0.0990214225044162
"(10, 10, 5)",identity,lbfgs,2000,1.0,0.5691330784926227,0.0990214225044162
"(10, 10, 5)",identity,lbfgs,2500,1.0,0.5691330784926227,0.0990214225044162
"(10, 10, 5)",identity,lbfgs,3000,1.0,0.5691330784926227,0.0990214225044162
"(10, 10, 10)",relu,adam,200,0.15789473684210525,0.15776139156740404,0.009431132351250308
"(10, 10, 10)",relu,adam,2000,0.15789473684210525,0.15776139156740404,0.009431132351250308
"(10, 10, 10)",relu,adam,2500,0.15789473684210525,0.15776139156740404,0.009431132351250308
"(10, 10, 10)",relu,adam,3000,0.15789473684210525,0.15776139156740404,0.009431132351250308
"(10, 10, 10)",relu,sgd,200,0.5098968916986528,0.4035292160278394,0.09988222825558593
"(10, 10, 10)",relu,sgd,2000,0.5098968916986528,0.4035292160278394,0.09988222825558593
"(10, 10, 10)",relu,sgd,2500,0.5098968916986528,0.4035292160278394,0.09988222825558593
"(10, 10, 10)",relu,sgd,3000,0.5098968916986528,0.4035292160278394,0.09988222825558593
"(10, 10, 10)",relu,lbfgs,200,1.0,0.6484603645347221,0.12159393981502159
"(10, 10, 10)",relu,lbfgs,2000,1.0,0.6484603645347221,0.12159393981502159
"(10, 10, 10)",relu,lbfgs,2500,1.0,0.6484603645347221,0.12159393981502159
"(10, 10, 10)",relu,lbfgs,3000,1.0,0.6484603645347221,0.12159393981502159
"(10, 10, 10)",tanh,adam,200,0.5016731016731018,0.4583133033767843,0.06050689279413644
"(10, 10, 10)",tanh,adam,2000,0.5016731016731018,0.4583133033767843,0.06050689279413644
"(10, 10, 10)",tanh,adam,2500,0.5016731016731018,0.4583133033767843,0.06050689279413644
"(10, 10, 10)",tanh,adam,3000,0.5016731016731018,0.4583133033767843,0.06050689279413644
"(10, 10, 10)",tanh,sgd,200,0.4482758620689655,0.4992361000759221,0.09721792589174533
"(10, 10, 10)",tanh,sgd,2000,0.4482758620689655,0.4992361000759221,0.09721792589174533
"(10, 10, 10)",tanh,sgd,2500,0.4482758620689655,0.4992361000759221,0.09721792589174533
"(10, 10, 10)",tanh,sgd,3000,0.4482758620689655,0.4992361000759221,0.09721792589174533
"(10, 10, 10)",tanh,lbfgs,200,0.9907829274679235,0.6344172786673392,0.05108914256325417
"(10, 10, 10)",tanh,lbfgs,2000,0.9907829274679235,0.6490946980221779,0.04213038008041055
"(10, 10, 10)",tanh,lbfgs,2500,0.9907829274679235,0.6490946980221779,0.04213038008041055
"(10, 10, 10)",tanh,lbfgs,3000,0.9907829274679235,0.6490946980221779,0.04213038008041055
"(10, 10, 10)",logistic,adam,200,0.15789473684210525,0.15776139156740404,0.009431132351250308
"(10, 10, 10)",logistic,adam,2000,0.15789473684210525,0.15776139156740404,0.009431132351250308
"(10, 10, 10)",logistic,adam,2500,0.15789473684210525,0.15776139156740404,0.009431132351250308
"(10, 10, 10)",logistic,adam,3000,0.15789473684210525,0.15776139156740404,0.009431132351250308
"(10, 10, 10)",logistic,sgd,200,0.444794952681388,0.4394153225806452,0.006899168803334142
"(10, 10, 10)",logistic,sgd,2000,0.444794952681388,0.4394153225806452,0.006899168803334142
"(10, 10, 10)",logistic,sgd,2500,0.444794952681388,0.4394153225806452,0.006899168803334142
"(10, 10, 10)",logistic,sgd,3000,0.444794952681388,0.4394153225806452,0.006899168803334142
"(10, 10, 10)",logistic,lbfgs,200,0.9905655320289467,0.6095732063101645,0.10071882919679703
"(10, 10, 10)",logistic,lbfgs,2000,1.0,0.6135308248603608,0.08695378892829601
"(10, 10, 10)",logistic,lbfgs,2500,1.0,0.6135308248603608,0.08695378892829601
"(10, 10, 10)",logistic,lbfgs,3000,1.0,0.6135308248603608,0.08695378892829601
"(10, 10, 10)",identity,adam,200,0.4984914515588334,0.4421098356679642,0.07585353830151526
"(10, 10, 10)",identity,adam,2000,0.4984914515588334,0.4421098356679642,0.07585353830151526
"(10, 10, 10)",identity,adam,2500,0.4984914515588334,0.4421098356679642,0.07585353830151526
"(10, 10, 10)",identity,adam,3000,0.4984914515588334,0.4421098356679642,0.07585353830151526
"(10, 10, 10)",identity,sgd,200,0.48632872503840247,0.4801851818655322,0.07081503322953583
"(10, 10, 10)",identity,sgd,2000,0.48632872503840247,0.4801851818655322,0.07081503322953583
"(10, 10, 10)",identity,sgd,2500,0.48632872503840247,0.4801851818655322,0.07081503322953583
"(10, 10, 10)",identity,sgd,3000,0.48632872503840247,0.4801851818655322,0.07081503322953583
"(10, 10, 10)",identity,lbfgs,200,1.0,0.5735992616095735,0.11272654798827907
"(10, 10, 10)",identity,lbfgs,2000,1.0,0.5735992616095735,0.11272654798827907
"(10, 10, 10)",identity,lbfgs,2500,1.0,0.5735992616095735,0.11272654798827907
"(10, 10, 10)",identity,lbfgs,3000,1.0,0.5735992616095735,0.11272654798827907
"(10, 10, 15)",relu,adam,200,0.47909729929707734,0.4746922387648194,0.05108323077901854
"(10, 10, 15)",relu,adam,2000,0.47909729929707734,0.4746922387648194,0.05108323077901854
"(10, 10, 15)",relu,adam,2500,0.47909729929707734,0.4746922387648194,0.05108323077901854
"(10, 10, 15)",relu,adam,3000,0.47909729929707734,0.4746922387648194,0.05108323077901854
"(10, 10, 15)",relu,sgd,200,0.5016731016731018,0.49215050091074686,0.09467387998758829
"(10, 10, 15)",relu,sgd,2000,0.5016731016731018,0.49215050091074686,0.09467387998758829
