hidden_layers,activation,solver,max_iter,accuracy,f1_score,cv_mean,cv_std,cv_fold_1,cv_fold_2,cv_fold_3,validation_fraction,n_iter_no_change,learning_rate,alpha,batch_size,learning_rate_init,momentum,nesterovs_momentum,early_stopping,tol,n_iter_,n_layers_,n_outputs_,timestamp
"(500, 250, 125, 60)",logistic,lbfgs,200,1.0,1.0,0.5943773964947277,0.06946445340881885,0.5035598705501618,0.6722222222222223,0.6073500967117988,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,121,6,1,2024-12-27 02:12:50.342697
"(500, 250, 125, 60)",logistic,lbfgs,500,1.0,1.0,0.5943773964947277,0.06946445340881885,0.5035598705501618,0.6722222222222223,0.6073500967117988,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,121,6,1,2024-12-27 02:13:02.990335
"(500, 250, 125, 60)",logistic,lbfgs,1000,1.0,1.0,0.5943773964947277,0.06946445340881885,0.5035598705501618,0.6722222222222223,0.6073500967117988,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,121,6,1,2024-12-27 02:13:16.390209
"(500, 250, 125, 60)",logistic,lbfgs,2000,1.0,1.0,0.5943773964947277,0.06946445340881885,0.5035598705501618,0.6722222222222223,0.6073500967117988,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,121,6,1,2024-12-27 02:13:29.558682
"(500, 250, 125, 60)",identity,lbfgs,200,1.0,1.0,0.614681650437953,0.04324935965943115,0.5661764705882353,0.6066666666666667,0.6712018140589568,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,55,6,1,2024-12-27 02:13:42.700537
"(500, 250, 125, 60)",identity,lbfgs,500,1.0,1.0,0.614681650437953,0.04324935965943115,0.5661764705882353,0.6066666666666667,0.6712018140589568,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,55,6,1,2024-12-27 02:13:46.073130
"(500, 250, 125, 60)",identity,lbfgs,1000,1.0,1.0,0.614681650437953,0.04324935965943115,0.5661764705882353,0.6066666666666667,0.6712018140589568,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,55,6,1,2024-12-27 02:13:49.665624
"(500, 250, 125, 60)",identity,lbfgs,2000,1.0,1.0,0.614681650437953,0.04324935965943115,0.5661764705882353,0.6066666666666667,0.6712018140589568,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,55,6,1,2024-12-27 02:13:53.282772
"(10, 10, 5)",tanh,lbfgs,200,1.0,1.0,0.6274760265984687,0.020585368303415334,0.6549707602339181,0.6220151426907397,0.6054421768707483,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,104,5,1,2024-12-27 02:01:21.675115
"(10, 10, 5)",tanh,lbfgs,500,1.0,1.0,0.6274760265984687,0.020585368303415334,0.6549707602339181,0.6220151426907397,0.6054421768707483,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,104,5,1,2024-12-27 02:01:21.908016
"(10, 10, 5)",tanh,lbfgs,1000,1.0,1.0,0.6274760265984687,0.020585368303415334,0.6549707602339181,0.6220151426907397,0.6054421768707483,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,104,5,1,2024-12-27 02:01:22.134316
"(10, 10, 5)",tanh,lbfgs,2000,1.0,1.0,0.6274760265984687,0.020585368303415334,0.6549707602339181,0.6220151426907397,0.6054421768707483,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,104,5,1,2024-12-27 02:01:22.395961
"(400, 200, 100, 50)",relu,lbfgs,200,1.0,1.0,0.6168630785647592,0.015293920993204741,0.6384803921568627,0.6066666666666667,0.6054421768707483,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,30,6,1,2024-12-27 02:10:13.659106
"(400, 200, 100, 50)",relu,lbfgs,500,1.0,1.0,0.6168630785647592,0.015293920993204741,0.6384803921568627,0.6066666666666667,0.6054421768707483,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,30,6,1,2024-12-27 02:10:15.480230
"(400, 200, 100, 50)",relu,lbfgs,1000,1.0,1.0,0.6168630785647592,0.015293920993204741,0.6384803921568627,0.6066666666666667,0.6054421768707483,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,30,6,1,2024-12-27 02:10:17.479807
"(400, 200, 100, 50)",relu,lbfgs,2000,1.0,1.0,0.6168630785647592,0.015293920993204741,0.6384803921568627,0.6066666666666667,0.6054421768707483,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,30,6,1,2024-12-27 02:10:19.344694
"(300, 150, 75, 35)",logistic,lbfgs,200,1.0,1.0,0.6103183407576452,0.04867589439942506,0.553290623179965,0.6722222222222223,0.6054421768707483,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,119,6,1,2024-12-27 02:09:32.999803
"(300, 150, 75, 35)",logistic,lbfgs,500,1.0,1.0,0.6103183407576452,0.04867589439942506,0.553290623179965,0.6722222222222223,0.6054421768707483,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,119,6,1,2024-12-27 02:09:38.133284
"(300, 150, 75, 35)",logistic,lbfgs,1000,1.0,1.0,0.6103183407576452,0.04867589439942506,0.553290623179965,0.6722222222222223,0.6054421768707483,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,119,6,1,2024-12-27 02:09:43.359234
"(300, 150, 75, 35)",logistic,lbfgs,2000,1.0,1.0,0.6103183407576452,0.04867589439942506,0.553290623179965,0.6722222222222223,0.6054421768707483,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,119,6,1,2024-12-27 02:09:48.312912
"(300, 150, 75, 35)",identity,lbfgs,200,1.0,1.0,0.6072704197185541,0.05534373741189756,0.6384803921568627,0.529505582137161,0.6538252848616386,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,55,6,1,2024-12-27 02:09:56.404123
"(300, 150, 75, 35)",identity,lbfgs,500,1.0,1.0,0.6072704197185541,0.05534373741189756,0.6384803921568627,0.529505582137161,0.6538252848616386,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,55,6,1,2024-12-27 02:09:58.201261
"(300, 150, 75, 35)",identity,lbfgs,1000,1.0,1.0,0.6072704197185541,0.05534373741189756,0.6384803921568627,0.529505582137161,0.6538252848616386,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,55,6,1,2024-12-27 02:10:00.080735
"(300, 150, 75, 35)",identity,lbfgs,2000,1.0,1.0,0.6072704197185541,0.05534373741189756,0.6384803921568627,0.529505582137161,0.6538252848616386,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,55,6,1,2024-12-27 02:10:02.057993
"(10, 10, 5)",logistic,lbfgs,500,1.0,1.0,0.6041106628379911,0.03515795549176087,0.5799352750809061,0.5785714285714285,0.6538252848616386,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,443,5,1,2024-12-27 02:01:25.456792
